Player_ID,Wage,Age,Club,League,Nation,Position,Apps,Caps,Caps_per_App,Apps_per_Year,International_Exposure
P00094,8840000.0,30,Man UFC,Premier League,DEN,Midfielder,399,115,0.2882205513784461,28.5,8.214285714285714
P00095,8840000.0,28,Man UFC,Premier League,SWE,Defender,334,52,0.15568862275449102,27.833333333333332,4.333333333333333
P00096,8621000.0,27,Borussia Dortmund,Bundesliga,GER,Defender,234,40,0.17094017094017094,21.272727272727273,3.6363636363636362
P00097,8598000.0,26,RB Leipzig,Bundesliga,GER,Midfielder,283,53,0.1872791519434629,28.3,5.3
P00098,8598000.0,30,Borussia Dortmund,Bundesliga,BEL,Defender,324,56,0.1728395061728395,23.142857142857142,4.0
P00099,8598000.0,33,Borussia Dortmund,Bundesliga,GER,Defender,435,76,0.17471264367816092,25.58823529411765,4.470588235294118
P00100,8598000.0,27,PSG,Ligue 1 Uber Eats,FRA,Defender,159,28,0.1761006289308176,14.454545454545455,2.5454545454545454
P00101,8598000.0,33,Borussia Dortmund,Bundesliga,GER,Forward,390,48,0.12307692307692308,22.941176470588236,2.823529411764706
P00102,8580000.0,31,Man City,Premier League,GER,Midfielder,320,59,0.184375,21.333333333333332,3.933333333333333
P00103,8320000.0,28,Liverpool,Premier League,SCO,Defender,337,59,0.17507418397626112,28.083333333333332,4.916666666666667
P00104,8320000.0,26,Man City,Premier League,ESP,Defender,246,33,0.13414634146341464,24.6,3.3
P00105,8320000.0,29,Arsenal,Premier League,GHA,Midfielder,281,40,0.1423487544483986,21.615384615384617,3.076923076923077
P00106,8320000.0,26,Man City,Premier League,ENG,Midfielder,221,23,0.10407239819004525,22.1,2.3
P00107,8320000.0,24,Newcastle,Premier League,BRA,Midfielder,135,8,0.05925925925925926,16.875,1.0
P00108,8320000.0,35,Leicester,Premier League,ENG,Forward,518,26,0.05019305019305019,27.263157894736842,1.368421052631579
P00109,8320000.0,23,Liverpool,Premier League,ENG,Defender,168,17,0.10119047619047619,24.0,2.4285714285714284
P00110,8290000.0,28,A. Madrid,La Liga,NED,Forward,291,79,0.27147766323024053,24.25,6.583333333333333
P00111,8190000.0,23,Barcelona,La Liga,FRA,Defender,155,11,0.07096774193548387,22.142857142857142,1.5714285714285714
P00112,8151000.0,29,A. Madrid,La Liga,ESP,Forward,388,56,0.14432989690721648,29.846153846153847,4.3076923076923075
P00113,8082000.0,22,Chelsea,Premier League,POR,Forward,142,22,0.15492957746478872,23.666666666666668,3.6666666666666665
P00114,7984000.0,30,R. Madrid,La Liga,ESP,Defender,320,29,0.090625,22.857142857142858,2.0714285714285716
P00115,7984000.0,27,R. Madrid,La Liga,FRA,Defender,179,7,0.03910614525139665,16.272727272727273,0.6363636363636364
P00116,7984000.0,24,R. Madrid,La Liga,BRA,Defender,132,22,0.16666666666666666,16.5,2.75
P00117,7983000.0,34,Juventus,Serie A,COL,Defender,369,113,0.3062330623306233,20.5,6.277777777777778
P00118,7983000.0,28,Inter,Serie A,TUR,Midfielder,334,72,0.2155688622754491,27.833333333333332,6.0
P00119,7983000.0,25,Juventus,Serie A,BRA,Defender,125,0,0.0,13.88888888888889,0.0
